🕘️更新时间,#genre#
2025-04-17 15:34:25,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8

📺央视频道,#genre#
CCTV-1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1,http://58.243.224.244:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://139.129.231.228/rtp/239.21.1.120:5002$山东电信组播源-cache:139.129.231.228
CCTV-1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV-2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8
CCTV-2,http://58.243.224.244:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://139.129.231.228/rtp/239.21.1.151:5002$山东电信组播源-cache:139.129.231.228
CCTV-2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1c85ed&tk=822270345d4c
CCTV-3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV-3,http://139.129.231.228/rtp/239.21.2.45:5002$山东电信组播源-cache:139.129.231.228
CCTV-3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8017df&tk=822270345d4c
CCTV-3,http://221.226.4.10:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
CCTV-4,http://58.243.224.244:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://139.129.231.228/rtp/239.21.1.154:5002$山东电信组播源-cache:139.129.231.228
CCTV-4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV-4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=d68ac0&tk=822270345d4c
CCTV-5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
CCTV-5,http://139.129.231.228/rtp/239.21.2.46:5002$山东电信组播源-cache:139.129.231.228
CCTV-5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV-5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1dd4b1&tk=822270345d4c
CCTV-5,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
CCTV-5+,http://182.37.169.94:352/tsfile/live/0016_1.m3u8
CCTV-5+,http://139.129.231.228/rtp/239.21.1.142:5002$山东电信组播源-cache:139.129.231.228
CCTV-5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
